Date,Open,High,Low,Close,Volume,Adj Close
10/20/2008,2390,2431.95,2325,2335.7,1200,2273.07
10/17/2008,2420,2503.8,2350,2350,800,2286.99
10/16/2008,2401,2427.8,2320,2413.3,1100,2348.59
10/15/2008,2570,2570,2470,2484,700,2417.39
10/14/2008,2589,2667,2575,2580,1300,2510.82
10/13/2008,2351,2509,2351,2509,1400,2441.72
10/10/2008,2355,2448,2300,2347.75,2200,2284.8
10/9/2008,2550.35,2550.35,2550.35,2550.35,0,2481.97
10/8/2008,2625,2625,2480,2550.35,1400,2481.97
10/7/2008,2701,2809.1,2670,2695,1300,2622.74
10/6/2008,2790.05,2802,2685,2721.1,1100,2648.14
10/3/2008,2975,2975,2849,2861,1200,2784.29
10/2/2008,2931.7,2931.7,2931.7,2931.7,0,2853.09
10/1/2008,3180,3188,2915,2931.7,2100,2853.09
9/30/2008,2875,3189.9,2750,3106.5,3100,3023.2
9/29/2008,3094,3095,2901,2940,1300,2861.17
9/26/2008,3121.2,3130,3024.1,3041.65,1100,2960.09
9/25/2008,3201,3220.95,3115,3129.2,1200,3045.29
9/24/2008,3205,3236,3200,3207,300,3121.01
9/23/2008,3230,3279.95,3210,3211.85,700,3125.73
9/22/2008,3195.95,3350,3195.95,3275.3,900,3187.48
9/19/2008,3150,3250,3150,3228.25,700,3141.69
9/18/2008,3150,3160,3000,3130.5,1200,3046.56
9/17/2008,3320,3350,3220,3241.65,900,3154.73
9/16/2008,3245.05,3320,3100,3277.3,800,3189.42
9/15/2008,3351.5,3445,3305,3317.25,700,3228.3
9/12/2008,3500,3500,3405,3405.05,300,3313.75
9/11/2008,3485,3511,3460,3472,400,3378.9
9/10/2008,3501,3550,3494.95,3500.45,300,3406.59
9/9/2008,3531,3572.7,3500,3505.8,300,3411.8
9/8/2008,3625,3625,3526,3535.65,600,3440.85
9/5/2008,3530,3570,3501.1,3525,600,3430.48
9/4/2008,3503.2,3590,3503.2,3546.3,500,3451.21
9/3/2008,3593,3593,3593,3593,0,3496.66
9/2/2008,3553,3614,3542,3593,900,3496.66
9/1/2008,3570,3595,3520,3536.75,900,3441.92
8/29/2008,3505,3575,3493,3559.65,1100,3464.2
8/28/2008,3510,3520,3461,3481.7,700,3388.34
8/27/2008,3440,3525,3440,3474.95,900,3381.77
8/26/2008,3433.5,3525,3433.5,3463.6,900,3370.73
8/25/2008,3570,3627.9,3475,3489.55,1300,3395.98
8/22/2008,3565,3579.95,3505,3516.1,1300,3421.82
8/21/2008,3700,3715,3560,3590.75,2700,3494.47
8/20/2008,3573,3730,3530,3669.75,5900,3571.35
8/19/2008,3525,3582.85,3479.05,3516,1100,3421.72
8/18/2008,3600,3650,3561,3574.25,1300,3478.41
8/15/2008,3586.65,3586.65,3586.65,3586.65,0,3490.48
